Color [A=255, R=0, G=0, B=12]
Color [A=255, R=0, G=29, B=61]
Color [A=255, R=1, G=1, B=9]
Color [A=255, R=2, G=0, B=13]
Color [A=255, R=2, G=2, B=10]
Color [A=255, R=2, G=6, B=17]
Color [A=255, R=3, G=3, B=13]
Color [A=255, R=4, G=6, B=19]
Color [A=255, R=5, G=4, B=20]
Color [A=255, R=5, G=8, B=17]
Color [A=255, R=6, G=8, B=20]
Color [A=255, R=6, G=9, B=18]
Color [A=255, R=6, G=10, B=22]
Color [A=255, R=6, G=37, B=68]
Color [A=255, R=7, G=3, B=18]
Color [A=255, R=7, G=6, B=20]
Color [A=255, R=7, G=6, B=22]
Color [A=255, R=8, G=6, B=19]
Color [A=255, R=8, G=7, B=21]
Color [A=255, R=8, G=8, B=16]
Color [A=255, R=8, G=8, B=18]
Color [A=255, R=8, G=8, B=20]
Color [A=255, R=8, G=10, B=23]
Color [A=255, R=8, G=10, B=25]
Color [A=255, R=8, G=13, B=35]
Color [A=255, R=8, G=15, B=31]
Color [A=255, R=8, G=30, B=54]
Color [A=255, R=9, G=8, B=22]
Color [A=255, R=9, G=9, B=21]
Color [A=255, R=9, G=10, B=28]
Color [A=255, R=9, G=10, B=30]
Color [A=255, R=9, G=11, B=23]
Color [A=255, R=9, G=11, B=26]
Color [A=255, R=9, G=11, B=32]
Color [A=255, R=9, G=12, B=27]
Color [A=255, R=9, G=12, B=29]
Color [A=255, R=9, G=12, B=31]
Color [A=255, R=9, G=14, B=33]
Color [A=255, R=9, G=14, B=34]
Color [A=255, R=9, G=15, B=29]
Color [A=255, R=9, G=16, B=35]
Color [A=255, R=10, G=7, B=24]
Color [A=255, R=10, G=8, B=22]
Color [A=255, R=10, G=9, B=17]
Color [A=255, R=10, G=9, B=23]
Color [A=255, R=10, G=10, B=36]
Color [A=255, R=10, G=11, B=29]
Color [A=255, R=10, G=11, B=31]
Color [A=255, R=10, G=11, B=32]
Color [A=255, R=10, G=12, B=24]
Color [A=255, R=10, G=12, B=25]
Color [A=255, R=10, G=12, B=27]
Color [A=255, R=10, G=12, B=33]
Color [A=255, R=10, G=12, B=35]
